,volume,open,high,low,close,caldt
403,80690111.0,345.0,345.26,332.94,340.84,2025-08-12
404,67838892.0,341.5,348.98,338.2,339.38,2025-08-13
405,75000662.0,335.76,340.4699,330.4,335.58,2025-08-14
406,74319792.0,337.655,339.3,327.02,330.56,2025-08-15
407,56956552.0,329.62,336.27,329.59,335.16,2025-08-18
408,75956002.0,335.79,340.55,327.85,329.31,2025-08-19
409,77481768.0,329.22,331.37,314.6,323.9,2025-08-20
410,55744445.0,322.08,324.9,318.68,320.11,2025-08-21
411,94016347.0,321.66,340.25,319.69,340.01,2025-08-22
412,86670037.0,338.9,349.53,335.03,346.6,2025-08-25
413,76651550.0,344.93,351.9,343.72,351.67,2025-08-26
414,65519012.0,351.94,355.39,349.156,349.6,2025-08-27
415,67903224.0,350.91,353.55,340.26,345.98,2025-08-28
416,81145660.0,347.23,348.7499,331.7,333.87,2025-08-29
417,58391952.0,328.23,333.33,325.6,329.36,2025-09-02
418,88733288.0,335.2,343.33,328.51,334.09,2025-09-03
419,60711033.0,336.15,338.89,331.48,338.53,2025-09-04
420,108989785.0,348.0,355.87,344.6801,350.84,2025-09-05
421,75208290.0,354.64,358.44,344.84,346.4,2025-09-08
422,53815991.0,348.44,350.77,343.82,346.97,2025-09-09
423,72121679.0,350.55,356.33,346.07,347.79,2025-09-10
424,103756010.0,350.17,368.99,347.6,368.81,2025-09-11
425,168156391.0,370.94,396.6899,370.24,395.94,2025-09-12
426,163823667.0,423.13,425.7,402.43,410.04,2025-09-15
427,104285721.0,414.495,423.25,411.43,421.62,2025-09-16
428,106133532.0,415.75,428.312095,409.67,425.86,2025-09-17
429,90454509.0,428.865,432.2199,416.56,416.85,2025-09-18
430,93131034.0,421.82,429.47,421.72,426.07,2025-09-19
431,97108777.0,431.11,444.98,429.13,434.21,2025-09-22
432,83422691.0,439.88,440.97,423.72,425.85,2025-09-23
433,93133570.0,429.83,444.21,429.0301,442.79,2025-09-24
434,96746426.0,435.24,435.35,419.08,423.39,2025-09-25
435,101628160.0,428.3,440.47,421.02,440.4,2025-09-26
436,79491510.0,444.35,450.98,439.5,443.21,2025-09-29
437,74357960.0,441.52,445.0,433.12,444.72,2025-09-30
438,98122285.0,443.8,462.29,440.75,459.46,2025-10-01
439,137008950.0,470.54,470.75,435.57,436.0,2025-10-02
440,133188180.0,443.285,446.77,416.575,429.83,2025-10-03
